Country,Happiness Score,Economy,Family,Health,Freedom,Generosity,Corruption,Country_merge
New Zealand,6.952,1.698,1.712,0.815,0.861,0.167,0.429,New Zealand
Nicaragua,6.33,1.084,1.47,0.646,0.912,0.103,0.271,Nicaragua
Niger,4.725,0.606,0.796,0.258,0.759,0.122,0.137,Niger
Nigeria,4.885,0.989,1.245,0.38,0.639,0.17,0.028,Nigeria
North Macedonia,5.503,1.458,1.537,0.544,0.637,0.13,0.007,North Macedonia
Norway,7.262,1.902,1.711,0.863,0.962,0.168,0.425,Norway
Oman,6.197,1.603,1.411,0.5,0.93,0.142,,Oman
Pakistan,4.768,0.982,0.759,0.417,0.529,0.136,0.046,Pakistan
Panama,6.407,1.594,1.6,0.717,0.876,0.041,0.042,Panama
Paraguay,6.172,1.329,1.615,0.291,0.921,0.097,0.063,Paraguay
Peru,5.947,1.323,1.364,0.551,0.71,0.05,0.021,Peru
Philippines,6.107,1.177,1.385,0.315,0.966,0.075,0.11,Philippines
Poland,6.673,1.666,1.595,0.63,0.79,0.021,0.169,Poland
Portugal,6.013,1.646,1.56,0.822,0.879,0.04,0.034,Portugal
Republic of Korea,6.038,1.709,1.357,0.903,0.678,0.1,0.139,Republic of Korea
Republic of Moldova,5.819,1.332,1.43,0.414,0.83,0.054,0.037,Republic of Moldova
Romania,6.563,1.636,1.401,0.561,0.847,0.028,0.015,Romania
Russian Federation,5.945,1.63,1.549,0.47,0.702,0.095,0.125,Russian Federation
Saudi Arabia,6.6,1.743,1.566,0.714,0.915,0.105,0.187,Saudi Arabia
Senegal,4.856,0.907,0.977,0.433,0.767,0.129,0.09,Senegal
Serbia,6.606,1.489,1.62,0.545,0.767,0.131,0.107,Serbia
Sierra Leone,2.998,0.786,0.692,0.327,0.613,0.138,0.052,Sierra Leone
Singapore,6.565,2.022,1.565,0.935,0.856,0.164,0.522,Singapore
Slovakia,6.221,1.629,1.762,0.547,0.704,0.058,0.07,Slovak Republic
Slovenia,6.792,1.692,1.718,0.802,0.961,0.121,0.113,Slovenia
Somalia,4.347,0.535,0.877,0.046,0.916,0.206,0.192,"Somalia, Fed. Rep."
South Africa,5.213,1.283,1.465,0.142,0.676,0.064,0.043,South Africa
Spain,6.466,1.69,1.685,0.894,0.734,0.112,0.18,Spain
Sri Lanka,3.891,1.271,1.308,0.567,0.696,0.121,0.025,Sri Lanka
State of Palestine,4.78,1.047,1.456,,0.618,0.055,0.081,West Bank and Gaza
Sweden,7.345,1.783,1.698,0.889,0.952,0.17,0.467,Sweden
Switzerland,6.935,1.87,1.622,0.883,0.889,0.156,0.468,Switzerland
Taiwan Province of China,6.669,1.73,1.583,0.817,0.76,0.057,0.187,Taiwan Province of China
Tajikistan,5.411,0.914,1.555,0.658,,0.085,0.342,Tajikistan
Tanzania,3.8,0.847,0.908,0.411,0.858,0.153,0.243,Tanzania
Thailand,6.222,1.426,1.551,0.633,0.927,0.223,0.039,Thailand
Togo,4.315,0.757,0.736,0.378,0.576,0.097,0.153,Togo
Trinidad and Tobago,5.905,1.549,1.532,0.419,0.76,0.111,0.001,Trinidad and Tobago
Tunisia,4.552,1.257,1.224,0.459,0.382,0.032,0.05,Tunisia
Türkiye,5.262,1.582,1.444,0.626,0.244,0.04,0.104,Türkiye
Uganda,4.461,0.762,1.342,0.396,0.751,0.148,0.05,Uganda
Ukraine,4.68,1.328,1.472,0.472,0.689,0.245,0.023,Ukraine
United Arab Emirates,6.759,1.812,1.294,0.659,0.934,0.165,0.235,United Arab Emirates
United Kingdom,6.728,1.725,1.562,0.779,0.872,0.211,0.318,United Kingdom
United States,6.724,1.839,1.614,0.604,0.644,0.171,0.161,United States
Uruguay,6.661,1.554,1.654,0.523,0.913,0.078,0.197,Uruguay
Uzbekistan,6.193,1.179,1.615,0.654,0.977,0.195,0.208,Uzbekistan
Venezuela,5.683,0.0,1.493,0.515,0.702,0.154,0.117,"Venezuela, RB"
Viet Nam,6.352,1.278,1.533,0.631,1.012,0.039,0.174,Viet Nam
Yemen,3.561,0.631,1.482,0.375,0.447,0.066,0.106,"Yemen, Rep."
Zambia,3.912,0.848,1.013,0.233,0.872,0.131,0.107,Zambia
Zimbabwe,3.396,0.827,0.961,0.178,0.598,0.065,0.131,Zimbabwe
